,trial,f1,spikes
0,1,34,"[888.6, 891.3, 1188.7, 1405.5, 1436.9, 1524.5, 1640.8, 1814.6, 1860.8, 1921.0, 2001.9, 2031.5, 2036.1, 2093.1, 2221.4, 2286.6, 2328.7, 2333.8, 2421.2, 2447.7, 2478.1, 2549.0, 2563.5, 2624.3, 2676.3, 2702.4, 2735.8, 2770.2, 2778.2, 2809.9, 2827.1, 2839.3, 2858.9, 2868.7, 2890.4, 2898.1, 2922.1, 2927.5, 2956.9, 2974.3, 2986.3, 3015.7, 3025.1, 3045.1, 3053.1, 3074.5, 3094.2, 3103.9, 3133.3, 3136.4, 3162.7, 3171.0, 3192.1, 3200.1, 3221.5, 3250.9, 3264.8, 3280.3, 3304.4, 3309.7, 3315.2, 3369.7, 3466.2, 3614.4, 3770.7, 3817.5, 3869.5, 4115.1, 4170.2, 4247.8, 4296.9, 4421.8, 4525.9, 4560.3, 4635.8, 4714.1, 4775.3, 4877.0, 4941.3, 5004.9, 5084.7, 5147.8, 5205.0, 5264.3, 5311.1, 5410.8, 5441.5, 5516.1, 5554.5, 5614.2, 5626.4, 5759.9, 5804.9, 5824.6, 5928.3, 6004.0, 6090.7, 6178.0, 6186.6, 6260.4, 6298.8, 6334.6, 6358.5, 6373.1, 6403.1, 6411.5, 6449.9, 6458.3, 6488.3, 6526.7, 6549.7, 6565.1, 6601.3, 6603.5, 6614.1, 6622.0, 6637.0, 6641.9, 6657.0, 6680.3, 6718.7, 6724.5, 6757.1, 6758.8, 6795.5, 6796.8, 6833.9, 6876.0, 6966.4, 7613.6, 8104.1, 8110.8, 8156.7, 8323.6, 8330.7]"
1,1,18,"[49.1, 431.7, 703.2, 919.9, 922.4, 1040.2, 1051.3, 1474.9, 2523.6, 2862.6, 3402.4, 3462.6, 3476.0, 3565.4, 3599.4, 3630.4, 3657.4, 3698.1, 3760.7, 3830.8, 3845.4, 3895.2, 3900.9, 3956.4, 4011.9, 4030.5, 4067.4, 4122.9, 4129.9, 4173.9, 4178.4, 4216.5, 4233.9, 4251.1, 4284.9, 4289.4, 4337.4, 4344.9, 4393.0, 4447.4, 4485.6, 4521.4, 4548.2, 4619.3, 4660.3, 4704.1, 4743.0, 4916.0, 4974.6, 5143.5, 5226.3, 5295.6, 5327.4, 5424.5, 5474.7, 5482.5, 5489.3, 5533.5, 5615.4, 5622.9, 5683.7, 5758.4, 5818.6, 5886.7, 5955.0, 6046.4, 6123.7, 6189.9, 6279.3, 6283.9, 6400.8, 6475.9, 6481.7, 6558.2, 6687.8, 6790.1, 6913.8, 6964.1, 7010.8, 7041.3, 7093.5, 7148.3, 7233.4, 7285.0, 7345.5, 7368.2, 7384.0, 7391.0, 7422.4, 7460.8, 7499.2, 7519.7, 7537.6, 7576.0, 7614.4, 7652.8, 7691.2, 7692.7, 7729.6, 7768.0, 7806.4, 7844.8, 9205.8, 9291.0]"
2,1,30,"[827.6, 853.6, 891.4, 894.4, 1915.4, 2688.9, 2713.2, 3257.2, 3286.7, 3290.6, 3323.9, 3357.2, 3377.7, 3390.5, 3423.8, 3429.1, 3455.0, 3457.1, 3490.4, 3495.0, 3512.7, 3523.7, 3537.2, 3556.2, 3557.0, 3590.3, 3607.9, 3623.6, 3636.5, 3653.2, 3656.9, 3690.2, 3717.1, 3723.5, 3756.8, 3760.4, 3808.5, 3855.6, 3896.1, 3974.7, 4017.8, 4077.8, 4112.5, 4130.9, 4277.2, 4369.8, 4466.9, 4557.5, 4627.4, 4683.5, 4696.9, 4703.5, 4789.5, 4791.9, 4890.9, 4917.7, 4964.2, 5013.2, 5028.5, 5095.4, 5100.8, 5150.1, 5234.6, 5284.6, 5341.8, 5418.5, 5494.9, 5522.9, 5531.3, 5598.2, 5647.1, 5696.0, 5743.4, 5749.0, 5796.9, 5818.8, 5893.1, 5899.2, 5939.8, 5997.4, 6071.9, 6257.3, 6282.0, 6362.9, 6435.0, 6466.7, 6526.6, 6600.2, 6636.5, 6691.3, 6746.3, 6757.3, 6802.8, 6809.3, 6848.2, 6893.6, 6939.0, 6984.4, 7015.8, 7029.8, 7071.1, 7075.2, 7081.5, 7108.9, 7120.6, 7166.0, 7211.4, 7256.8, 7323.4, 7589.5, 8845.3]"
3,1,14,"[811.3, 917.7, 920.6, 1746.0, 2582.6, 2587.8, 2667.8, 2668.2, 2673.7, 2739.2, 2748.4, 2758.5, 2810.6, 2817.4, 2823.3, 2868.8, 2882.0, 2893.4, 2899.2, 2952.9, 2953.4, 2960.5, 2992.2, 3024.8, 3026.6, 3037.0, 3088.0, 3088.9, 3096.2, 3114.9, 3120.5, 3127.2, 3134.6, 3165.1, 3167.6, 3168.7, 3171.1, 3174.0, 3216.0, 3231.2, 3297.4, 3309.3, 3315.7, 3372.5, 3386.2, 3442.7, 3451.1, 3458.6, 3526.0, 3573.6, 3619.2, 3651.4, 3664.1, 3684.4, 3733.5, 3747.4, 3804.6, 3814.4, 3820.4, 3858.5, 3865.7, 3910.3, 3925.8, 3927.6, 3969.2, 3988.4, 4002.2, 4071.2, 4088.9, 4096.1, 4141.8, 4163.9, 4253.6, 4298.6, 4310.4, 4349.3, 4370.5, 4388.7, 4395.1, 4412.5, 4478.9, 4502.7, 4507.9, 4560.1, 4566.1, 4590.7, 4625.0, 4629.8, 4687.2, 4735.8, 4798.4, 4811.6, 4844.1, 4867.9, 4900.6, 4931.8, 4948.2, 5003.6, 5050.8, 5071.3, 5105.3, 5155.5, 5161.8, 5216.1, 5254.3, 5309.9, 5353.9, 5390.8, 5432.4, 5436.5, 5445.5, 5471.7, 5535.6, 5559.7, 5615.7, 5633.0, 5685.4, 5722.1, 5781.9, 5820.7, 5822.7, 5839.7, 5877.7, 5933.3, 5979.2, 6026.0, 6095.7, 6149.1, 6167.9, 6196.3, 6213.4, 6235.9, 6257.7, 6258.8, 6304.2, 6349.6, 6380.8, 6395.0, 6440.4, 6440.4, 6461.1, 6485.7, 6531.1, 6576.5, 6621.9, 6648.6, 6667.3, 6680.5, 6689.0, 6693.6, 7020.9, 7028.0, 7153.6, 7165.2, 8172.3, 8179.4, 8203.0]"
4,1,10,"[620.7, 961.2, 961.2, 2187.3, 2766.0, 2997.6, 3183.8, 3251.5, 3325.8, 3351.5, 3367.6, 3428.2, 3451.5, 3471.0, 3522.0, 3551.5, 3574.3, 3593.9, 3651.5, 3664.2, 3705.9, 3751.5, 3769.2, 3843.5, 3899.2, 3972.2, 4058.2, 4131.5, 4199.1, 4224.1, 4278.4, 4398.1, 4477.7, 4613.9, 4685.4, 4723.7, 4826.4, 4861.5, 4902.4, 4976.6, 5019.2, 5071.6, 5102.4, 5140.6, 5200.6, 5244.6, 5267.3, 5292.1, 5336.0, 5366.0, 5410.1, 5447.6, 5487.4, 5523.9, 5574.2, 5627.7, 5639.2, 5690.2, 5748.5, 5837.2, 5873.7, 5949.3, 5989.1, 6045.8, 6091.8, 6154.1, 6186.7, 6230.1, 6347.2, 6387.1, 6441.0, 6460.6, 6504.6, 6571.2, 6641.7, 6695.7, 6751.4, 6779.6, 6812.0, 6839.7, 6918.0, 6987.6, 6991.9, 7084.6, 7251.2, 7294.2, 7321.3, 7395.1, 7403.3, 8675.1]"
5,1,30,"[904.8, 907.8, 912.1, 1203.8, 1365.7, 2454.0, 2918.7, 3540.8, 3574.1, 3602.2, 3607.4, 3640.7, 3674.0, 3707.3, 3710.6, 3740.6, 3773.9, 3807.2, 3840.5, 3873.8, 3907.1, 3928.1, 3940.4, 3973.7, 4007.0, 4040.3, 4064.3, 4074.4, 4084.8, 4095.1, 4099.7, 4788.6, 4815.5, 4939.8, 4993.3, 5060.1, 5065.5, 5112.7, 5151.4, 5202.3, 5239.3, 5265.7, 5296.6, 5364.1, 5466.5, 5527.3, 5570.9, 5609.3, 5646.5, 5657.4, 5695.6, 5742.0, 5765.7, 5779.4, 5811.2, 5857.3, 5883.0, 5916.8, 5951.3, 5973.2, 6000.6, 6037.6, 6057.8, 6110.5, 6146.0, 6184.2, 6217.2, 6232.7, 6278.2, 6304.0, 6325.2, 6352.7, 6377.8, 6437.3, 6500.0, 6510.6, 6548.4, 6603.9, 6670.0, 6688.7, 6693.6, 6756.7, 6782.4, 6848.7, 6855.5, 6879.3, 6948.4, 6985.4, 7009.9, 7040.7, 7067.0, 7084.9, 7092.5, 7093.3, 7119.6, 7122.9, 7145.9, 7172.2, 7198.5, 7224.8, 7251.1, 7264.2, 7277.4, 7303.7, 7330.0, 7356.3, 7382.6, 7408.9, 7427.5, 7435.2, 7461.5, 7487.8, 7505.0, 7514.1, 7516.7, 7540.4, 7553.6, 7572.7, 8295.2, 8315.9, 8348.0, 8425.5, 8532.5]"
6,1,10,"[874.2, 880.7, 886.2, 887.3, 927.4, 1192.3, 3150.4, 3277.8, 3377.8, 3477.8, 3577.8, 3677.8, 3777.8, 4765.4, 4773.8, 4892.1, 5116.9, 5476.3, 5575.4, 5607.5, 5675.1, 5712.1, 5750.2, 5790.8, 5810.2, 5866.7, 5911.9, 5952.7, 5986.4, 6058.9, 6072.0, 6100.0, 6150.2, 6161.0, 6194.0, 6245.9, 6282.2, 6324.2, 6370.0, 6392.4, 6424.5, 6461.1, 6515.4, 6576.1, 6621.3, 6685.2, 6708.5, 6748.1, 6777.7, 6821.2, 6937.7, 6944.3, 6965.8, 7030.7, 7110.9, 7253.0, 7258.0, 7277.4, 7277.4, 7287.1, 7513.2, 7517.6, 7522.1]"
7,1,24,"[363.8, 445.7, 463.1, 880.3, 883.4, 887.1, 2557.3, 2948.7, 3129.7, 3220.4, 3243.7, 3278.2, 3325.5, 3354.2, 3390.5, 3396.8, 3440.2, 3492.8, 3512.3, 3538.8, 3561.9, 3567.0, 3592.5, 3597.0, 3608.7, 3630.0, 3650.3, 3666.4, 3690.5, 3691.9, 3727.5, 3733.4, 3764.5, 3775.0, 3804.7, 3816.6, 3824.5, 3858.2, 3874.3, 3895.8, 3899.8, 3912.8, 3941.4, 3964.2, 3983.0, 3989.6, 4024.6, 4026.2, 4050.4, 4066.2, 4071.4, 4085.9, 4124.8, 4143.5, 4161.9, 4196.0, 4239.2, 4305.5, 4332.9, 4362.8, 4419.1, 4444.8, 4481.6, 4488.0, 4532.9, 4542.0, 4574.9, 4603.0, 4613.8, 4665.9, 4706.4, 4713.8, 4771.7, 4822.0, 4867.6, 4918.5, 4942.8, 4966.2, 5009.1, 5055.5, 5099.3, 5149.7, 5225.7, 5253.9, 5272.6, 5301.7, 5369.5, 5401.3, 5448.5, 5486.8, 5538.8, 5569.5, 5609.3, 5712.3, 5743.4, 5778.1, 5848.7, 5873.3, 5916.7, 5945.3, 5959.6, 5995.5, 6006.0, 6033.6, 6056.8, 6096.8, 6102.2, 6166.3, 6182.6, 6214.2, 6274.4, 6297.6, 6319.9, 6373.9, 6394.0, 6432.9, 6469.9, 6504.6, 6509.2, 6555.2, 6578.9, 6614.3, 6653.7, 6684.7, 6704.3, 6737.7, 6770.9, 6788.7, 6808.1, 6819.0, 6843.3, 6884.5, 6924.7, 6964.9, 7024.7, 7064.4, 7067.1, 7118.7, 7129.6, 7164.9, 7185.2, 7192.1, 7240.7, 7254.6, 7288.1, 7317.1, 7358.5, 7379.6, 7384.4, 7435.5, 7442.1, 7488.7, 7504.6, 7505.7, 7550.4, 7567.1, 8045.9, 8128.0, 9049.4]"
8,1,34,"[87.0, 905.1, 908.0, 1364.4, 1499.2, 1858.6, 1872.2, 1877.7, 1884.1, 1891.1, 1904.2, 2163.1, 2344.5, 2544.2, 2857.2, 3003.1, 3032.5, 3061.9, 3091.3, 3120.7, 3150.1, 3179.5, 3197.5, 3208.9, 3238.3, 3267.7, 3297.1, 3326.5, 3344.6, 3355.9, 3385.3, 3414.7, 3444.1, 3473.5, 3502.9, 3866.3, 3921.3, 3930.8, 3935.5, 3941.6, 3945.9, 3984.1, 4059.3, 4120.2, 4169.5, 4208.7, 4241.2, 4285.3, 4358.3, 4399.1, 4427.6, 4454.6, 4489.5, 4532.6, 4555.0, 4592.5, 4617.8, 4654.5, 4705.8, 4744.9, 4782.9, 4825.7, 4857.0, 4865.0, 4892.2, 4915.0, 4919.5, 4993.5, 5011.4, 5038.3, 5066.4, 5080.3, 5120.9, 5164.6, 5189.5, 5222.1, 5259.5, 5291.5, 5308.5, 5348.1, 5392.0, 5449.4, 5479.8, 5500.1, 5548.7, 5606.3, 5610.7, 5673.6, 5705.3, 5739.6, 5744.2, 5799.5, 5833.1, 5862.1, 5889.6, 5918.7, 5963.5, 5997.9, 6038.9, 6074.1, 6125.9, 6137.9, 6192.4, 6201.5, 6235.0, 6248.7, 6294.9, 6362.9, 6416.1, 6466.2, 6526.6, 6528.1, 6550.8, 6573.6, 6590.7, 6596.3, 6619.0, 6641.7, 6664.4, 6686.5, 6687.1, 6709.8, 6732.5, 6755.2, 6775.0, 6777.9, 6800.6, 6823.3, 6825.3, 6846.0, 6868.7, 6891.4, 6913.4, 6914.1, 6936.8, 6959.5, 6976.3, 6982.2, 7004.9, 7027.6, 7051.9, 7388.2]"
9,1,10,"[948.9, 949.0, 1086.3, 1091.5, 1096.4, 1106.8, 1111.7, 1132.6, 1157.0, 1343.9, 2217.0, 2222.9, 3175.0, 3190.9, 3290.9, 3390.9, 3490.9, 3588.4, 3590.9, 3690.9, 3730.4, 4032.8, 4037.7, 4137.9, 4144.8, 5293.9, 5343.5, 5374.1, 5430.9, 5464.3, 5479.1, 5505.7, 5527.1, 5553.0, 5563.8, 5568.7, 5585.3, 5632.3, 5642.8, 5672.8, 5716.6, 5760.8, 5786.8, 5808.7, 5846.7, 5874.3, 5932.5, 5972.0, 6006.5, 6029.1, 6039.3, 6081.6, 6095.3, 6129.5, 6155.4, 6206.5, 6231.8, 6269.8, 6313.5, 6318.7, 6365.6, 6386.5, 6418.5, 6425.2, 6441.3, 6485.6, 6523.4, 6573.3, 6650.6, 6715.7, 6716.6, 6751.5, 6771.3, 6820.2, 6826.8, 6860.3, 6882.3, 6935.0, 6937.7, 6948.3, 6989.6, 6993.2, 7048.7, 7077.5, 7104.2, 7159.7, 7174.0, 7209.0, 7215.2, 7218.0, 7327.9, 7361.8, 7799.6, 8404.9, 8520.5]"
