,trial,f1,spikes
0,1,34,"[86.7, 186.1, 230.4, 454.8, 553.2, 663.4, 896.5, 1032.8, 1045.5, 1067.3, 1075.6, 1077.4, 1079.9, 1158.4, 1224.1, 1238.8, 1297.4, 1480.8, 1584.6, 1812.2, 1929.0, 1954.5, 2015.0, 2106.8, 2384.3, 2440.4, 2506.7, 2569.5, 2665.8, 2716.8, 2772.0, 2801.2, 2815.8, 2830.7, 2859.7, 2860.1, 2889.5, 2894.4, 2918.9, 2930.9, 2948.2, 2958.6, 2977.6, 2984.0, 3007.0, 3011.1, 3035.2, 3036.4, 3065.8, 3086.2, 3093.0, 3095.3, 3124.7, 3129.3, 3154.1, 3183.1, 3183.5, 3212.9, 3227.7, 3242.3, 3271.7, 3285.1, 3301.1, 3328.6, 3356.2, 3403.5, 3468.1, 3499.4, 3553.2, 3597.5, 3681.5, 3736.9, 3815.6, 3848.7, 3899.5, 4149.3, 4268.2, 4310.4, 4338.7, 4364.1, 4433.8, 4524.7, 4585.6, 4733.4, 4764.8, 4827.2, 4875.2, 4915.7, 4970.0, 5017.1, 5047.6, 5108.2, 5168.2, 5185.1, 5249.2, 5317.7, 5353.0, 5430.0, 5491.1, 5551.0, 5583.9, 5595.1, 5656.7, 5706.1, 5734.6, 5804.2, 5851.6, 5895.5, 5928.2, 5972.8, 5998.4, 6039.9, 6090.2, 6138.5, 6180.9, 6241.0, 6289.4, 6301.2, 6339.7, 6342.1, 6378.1, 6384.5, 6416.5, 6419.7, 6449.6, 6454.9, 6486.6, 6493.3, 6522.2, 6531.7, 6547.2, 6570.1, 6570.3, 6607.7, 6608.5, 6627.4, 6646.9, 6647.9, 6683.6, 6685.3, 6723.7, 6728.1, 6762.1, 6800.5, 6803.1, 6934.4, 6964.3, 6986.1, 7005.9, 7182.1, 7190.9, 7212.2, 7237.6, 7574.2, 7661.9, 7751.9, 7815.3, 7912.6, 8150.0]"
1,1,18,"[150.5, 158.3, 206.0, 224.5, 252.7, 263.5, 271.2, 342.8, 387.5, 404.3, 415.0, 419.5, 537.3, 544.3, 940.9, 942.4, 1372.7, 1403.7, 1510.3, 1520.3, 1696.5, 2135.4, 2543.6, 2558.7, 2639.2, 2653.4, 2658.7, 2756.5, 2788.2, 2810.9, 2841.6, 2905.6, 2908.6, 2950.0, 3022.2, 3110.9, 3160.0, 3173.2, 3190.7, 3228.8, 3303.6, 3366.6, 3443.8, 3485.9, 3495.6, 3581.2, 3614.0, 3615.1, 3645.0, 3708.7, 3718.6, 3772.2, 3802.6, 3817.7, 3835.3, 3849.7, 3859.5, 3891.2, 3895.5, 3905.3, 3907.3, 3948.5, 3960.8, 3984.8, 4002.6, 4016.3, 4033.0, 4046.9, 4068.4, 4071.8, 4087.4, 4087.9, 4127.3, 4128.2, 4163.4, 4182.8, 4209.0, 4238.3, 4241.0, 4268.8, 4293.8, 4312.8, 4340.8, 4349.3, 4410.5, 4505.2, 4553.6, 4739.8, 4928.6, 5022.9, 5183.0, 5227.4, 5259.0, 5455.3, 5532.3, 5622.3, 5651.1, 5707.4, 5751.6, 5795.6, 5824.9, 5998.2, 6112.9, 6133.0, 6254.8, 6309.1, 6396.3, 6452.3, 6525.2, 6553.3, 6670.7, 6727.3, 6759.1, 6810.8, 6850.3, 6896.8, 6976.2, 7004.9, 7050.2, 7100.7, 7124.8, 7208.6, 7269.3, 7304.8, 7349.8, 7388.2, 7401.9, 7426.6, 7427.5, 7449.4, 7465.0, 7475.1, 7503.4, 7503.7, 7521.1, 7541.8, 7556.5, 7575.8, 7580.2, 7614.9, 7618.6, 7657.0, 7665.7, 7695.4, 7721.9, 7733.8, 7772.2, 7777.3, 7810.6, 7838.3, 7849.0, 7855.7, 8139.0, 8324.7, 8559.0, 8658.8, 8706.2, 8707.3, 8738.4, 8775.5, 8778.2, 8809.3, 8833.3, 8876.1, 8951.6, 9041.4, 9046.7, 9098.2, 9123.5, 9206.9]"
2,1,30,"[809.2, 866.7, 891.1, 893.6, 1106.5, 1116.8, 1187.2, 1250.1, 1257.2, 1271.7, 1364.3, 1364.6, 1377.0, 1593.9, 1706.7, 1732.4, 1756.6, 1777.7, 1783.9, 1924.2, 2052.0, 2164.7, 2254.1, 2332.5, 2376.4, 2499.6, 2636.1, 2712.6, 2839.7, 2931.4, 3038.4, 3145.8, 3250.8, 3284.1, 3317.4, 3323.3, 3333.9, 3350.7, 3368.2, 3377.4, 3384.0, 3398.7, 3417.3, 3421.0, 3439.0, 3450.6, 3460.7, 3483.9, 3495.7, 3517.2, 3518.6, 3534.7, 3544.8, 3550.5, 3551.3, 3583.8, 3590.9, 3617.1, 3650.4, 3653.5, 3683.5, 3683.7, 3717.0, 3750.3, 3792.4, 3846.0, 4191.8, 4308.3, 4400.5, 4490.9, 4653.5, 4741.6, 4838.8, 4871.4, 4940.8, 5119.8, 5167.5, 5204.1, 5291.8, 5346.0, 5390.8, 5425.7, 5478.5, 5502.7, 5529.2, 5588.5, 5615.3, 5651.5, 5677.2, 5723.8, 5760.5, 5795.9, 5832.7, 5843.9, 5882.9, 5928.7, 5965.8, 5988.5, 6040.0, 6094.5, 6103.3, 6120.8, 6236.7, 6277.9, 6479.3, 6537.9, 6580.1, 6586.3, 6591.2, 6652.5, 6684.8, 6750.9, 6788.8, 6796.3, 6837.9, 6841.7, 6884.4, 6887.1, 6932.5, 6944.8, 6976.5, 6977.9, 7009.0, 7023.3, 7025.8, 7067.4, 7068.7, 7076.4, 7114.1, 7120.9, 7159.5, 7177.1, 7204.9, 7228.7, 7250.3, 7370.1, 7377.6, 7624.1, 7627.7, 7722.6, 7805.3, 8087.1, 8095.0, 8222.8, 8228.1, 8349.1, 8379.6, 8778.9]"
3,1,14,"[27.0, 123.1, 137.9, 151.2, 246.7, 562.6, 594.1, 887.4, 888.9, 893.9, 994.1, 1151.5, 1284.3, 1349.0, 1378.5, 1492.5, 1498.8, 2007.9, 2012.5, 2119.2, 2135.1, 2200.1, 2257.0, 2262.2, 2304.6, 2336.4, 2352.7, 2358.8, 2382.3, 2432.3, 2435.0, 2475.7, 2514.2, 2559.6, 2603.4, 2629.5, 2651.1, 2682.7, 2689.0, 2700.9, 2712.8, 2721.5, 2754.9, 2764.8, 2772.3, 2791.1, 2791.4, 2826.6, 2841.4, 2843.1, 2843.7, 2854.1, 2863.8, 2897.1, 2909.9, 2915.1, 2935.4, 2956.1, 2973.6, 2981.5, 2986.5, 3025.6, 3039.0, 3057.9, 3058.0, 3120.5, 3129.3, 3196.8, 3206.5, 3248.3, 3460.6, 3586.9, 3606.8, 3637.8, 3659.3, 3692.4, 3727.2, 3739.0, 3762.8, 3771.8, 3845.0, 3855.1, 3873.7, 3896.8, 3927.3, 3967.4, 4086.2, 4094.7, 4108.1, 4183.7, 4199.1, 4240.0, 4314.8, 4383.4, 4496.6, 4523.7, 4551.1, 4558.3, 4620.6, 4796.6, 4834.8, 4839.8, 4868.3, 4945.8, 4956.9, 4981.1, 5043.2, 5120.0, 5165.6, 5236.2, 5270.1, 5315.4, 5354.3, 5395.4, 5463.8, 5513.4, 5550.3, 5573.1, 5598.8, 5674.2, 5698.1, 5739.7, 5792.3, 5834.6, 5870.5, 5931.7, 5954.4, 5963.7, 6018.1, 6058.9, 6099.7, 6129.4, 6157.6, 6174.9, 6217.0, 6220.3, 6238.3, 6265.6, 6265.7, 6284.2, 6311.1, 6315.7, 6330.2, 6346.3, 6356.5, 6362.3, 6383.8, 6399.4, 6401.9, 6426.3, 6447.3, 6451.6, 6487.1, 6492.7, 6538.1, 6583.5, 6603.5, 6628.9, 6762.3, 6965.6, 7190.4, 7442.3, 7469.5, 7527.4, 7591.9, 7728.8, 7750.0, 7880.6]"
4,1,10,"[133.8, 193.0, 794.7, 897.7, 1175.7, 1396.4, 1554.9, 1869.5, 2121.2, 2218.1, 2298.6, 2359.8, 2370.4, 2437.2, 2490.4, 2548.6, 2585.0, 2614.4, 2688.8, 2726.3, 2765.5, 2808.2, 2841.6, 2876.5, 2937.5, 2955.0, 2980.6, 3008.2, 3057.7, 3094.5, 3160.1, 3201.2, 3204.6, 3231.1, 3232.2, 3285.9, 3299.7, 3304.7, 3338.9, 3345.0, 3375.7, 3389.8, 3399.7, 3404.7, 3411.3, 3416.0, 3454.1, 3458.3, 3464.0, 3495.5, 3504.7, 3512.2, 3544.1, 3547.1, 3576.1, 3604.7, 3610.2, 3666.5, 3699.1, 3704.7, 3720.1, 3763.4, 4305.6, 4388.8, 4429.6, 4457.3, 4496.7, 4535.0, 4613.7, 4661.2, 4666.5, 4748.5, 4782.5, 4816.6, 4863.7, 4891.2, 4940.3, 4962.7, 5004.7, 5056.1, 5071.0, 5107.3, 5134.1, 5168.0, 5237.2, 5269.6, 5361.5, 5392.7, 5447.2, 5480.9, 5518.6, 5612.1, 5640.0, 5704.8, 5769.0, 5809.6, 5861.3, 5896.3, 5941.1, 6015.1, 6077.0, 6100.8, 6133.8, 6160.8, 6196.9, 6244.7, 6272.4, 6329.9, 6391.8, 6426.2, 6496.5, 6602.9, 6704.5, 6706.2, 6782.1, 6805.5, 6841.5, 6871.1, 6871.1, 6901.2, 6909.0, 6937.9, 6990.2, 7037.7, 7059.6, 7114.9, 7141.6, 7204.3, 7254.4, 7346.2, 7410.0, 7501.4, 7515.7, 7562.8, 7801.9, 7812.8, 7823.4, 7880.4, 7903.0, 7928.3, 7979.7, 8040.4, 8091.4, 8111.8, 8116.4, 8177.7, 8185.1, 8261.6, 8373.8, 8520.3, 8536.5, 8576.8, 8591.6, 8595.7, 8621.9, 8629.9, 8643.9, 8648.4, 8658.0, 8677.8, 8719.7]"
5,1,30,"[54.5, 113.9, 128.1, 476.2, 560.2, 603.8, 930.4, 933.3, 991.2, 1205.0, 1409.3, 1416.6, 1432.3, 1470.7, 1556.6, 1657.4, 1733.7, 1787.3, 1858.0, 1966.8, 2001.2, 2067.6, 2122.7, 2237.5, 2315.0, 2355.1, 2397.9, 2482.1, 2483.4, 2559.9, 2651.8, 2727.4, 2797.0, 2821.2, 2888.2, 2918.7, 2940.8, 2964.8, 3002.5, 3021.1, 3035.1, 3060.8, 3080.6, 3152.3, 3190.4, 3268.3, 3271.7, 3318.2, 3458.7, 3609.5, 3632.7, 3642.8, 3676.1, 3699.5, 3709.4, 3715.5, 3730.6, 3742.7, 3763.2, 3776.0, 3781.2, 3809.3, 3817.0, 3834.3, 3842.6, 3843.1, 3857.0, 3870.4, 3875.9, 3888.7, 3892.6, 3908.4, 3909.2, 3942.5, 3957.0, 3975.8, 3999.4, 4009.1, 4033.7, 4042.4, 4067.5, 4075.7, 4082.8, 4109.0, 4139.8, 4140.3, 4208.9, 4250.4, 4528.0, 4601.8, 4766.3, 4816.9, 4940.4, 4948.8, 4982.0, 5016.8, 5028.0, 5060.6, 5081.6, 5083.5, 5088.5, 5162.3, 5197.9, 5244.4, 5278.7, 5279.4, 5291.9, 5396.4, 5407.6, 5430.4, 5436.2, 5489.4, 5503.2, 5583.6, 5606.4, 5760.6, 5858.9, 5928.1, 5928.5, 5960.2, 6017.5, 6080.4, 6168.8, 6309.4, 6410.4, 6434.3, 6461.9, 6489.8, 6508.2, 6622.3, 6689.7, 6701.2, 6758.6, 6812.6, 6868.0, 6895.2, 6924.8, 6981.4, 6995.1, 7066.8, 7109.4, 7122.1, 7135.7, 7153.6, 7162.0, 7188.3, 7200.5, 7214.6, 7221.2, 7240.9, 7242.2, 7250.6, 7267.2, 7271.7, 7293.5, 7294.9, 7319.8, 7360.2, 7367.7, 7371.0, 7397.3, 7397.9, 7412.1, 7423.6, 7437.0, 7449.9, 7451.3, 7476.2, 7503.8, 7527.4, 7539.5, 7553.7, 7560.4, 7580.0, 7606.3, 7608.4, 7632.6, 7658.9, 7667.6, 7678.0, 7752.8, 7993.0, 8226.0, 8294.2, 8348.2, 8403.0, 8452.4, 8504.2, 8540.2, 8581.0, 8656.9, 8691.9, 8707.5, 8998.4, 9109.5, 9175.6]"
6,1,10,"[68.2, 141.2, 415.6, 562.6, 652.9, 870.3, 1075.6, 1091.0, 1151.9, 1337.4, 1656.3, 1679.1, 1712.5, 1734.2, 1793.2, 1798.0, 1800.7, 1852.9, 1860.5, 2427.8, 2466.8, 2472.8, 2530.6, 2593.5, 2625.1, 2657.3, 2946.6, 3097.3, 3139.1, 3186.9, 3209.8, 3242.0, 3251.4, 3326.8, 3351.4, 3361.5, 3394.4, 3419.4, 3451.4, 3457.1, 3551.4, 3651.4, 3657.8, 3679.0, 3716.8, 3722.8, 3739.2, 3751.4, 3870.6, 3904.1, 3914.4, 3963.0, 4035.9, 4057.5, 4082.3, 4178.6, 4264.4, 4351.8, 4361.7, 4387.9, 4394.4, 4406.5, 4438.4, 4445.7, 4453.4, 4457.1, 4464.7, 4469.2, 4481.0, 4501.7, 4612.0, 4627.8, 4653.9, 4762.8, 4861.0, 5037.9, 5104.2, 5156.6, 5159.8, 5201.2, 5342.6, 5437.5, 5499.5, 5501.7, 5524.3, 5552.7, 5640.2, 5703.9, 5707.0, 5795.6, 5830.9, 5839.2, 5913.3, 5952.0, 6009.7, 6069.0, 6123.6, 6152.2, 6178.6, 6217.7, 6263.2, 6289.6, 6311.6, 6349.2, 6401.0, 6435.0, 6477.4, 6480.4, 6534.4, 6576.8, 6614.0, 6718.8, 6751.5, 6798.0, 6807.2, 6853.0, 6897.3, 6918.1, 6927.0, 6952.2, 6988.7, 7031.0, 7046.4, 7079.8, 7084.7, 7118.0, 7147.2, 7196.6, 7251.3, 7275.8, 7369.9, 7390.4, 7436.1, 7627.9, 8014.1, 8103.2, 8152.1, 8249.2, 8350.6, 8382.6, 8524.6, 8581.5]"
7,1,24,"[40.3, 263.0, 295.1, 583.3, 926.4, 928.0, 1059.5, 1080.9, 1325.4, 1480.9, 1561.5, 1947.9, 1957.9, 1970.6, 2017.2, 2097.1, 2266.6, 2338.2, 2364.3, 2447.9, 2515.0, 2585.8, 2602.1, 2645.6, 2694.4, 2702.4, 2729.9, 2737.6, 2758.8, 2764.2, 2837.3, 2894.3, 2919.8, 2953.9, 3035.4, 3138.0, 3191.0, 3238.7, 3240.2, 3349.0, 3399.5, 3445.7, 3481.9, 3499.4, 3525.8, 3564.8, 3570.3, 3592.3, 3593.3, 3612.5, 3628.2, 3698.7, 3740.3, 3751.1, 3773.2, 3781.9, 3794.1, 3817.6, 3817.9, 3823.5, 3837.6, 3853.3, 3865.1, 3876.0, 3886.4, 3904.4, 3906.7, 3920.4, 3943.0, 3948.3, 3966.9, 3976.9, 3989.9, 4009.8, 4031.5, 4050.4, 4073.1, 4083.9, 4114.7, 4156.3, 4189.6, 4192.6, 4197.9, 4245.5, 4328.0, 4449.2, 4504.9, 4630.4, 4689.6, 4724.7, 4800.7, 4808.1, 4816.9, 4941.4, 5001.9, 5360.6, 5419.2, 5471.7, 5471.9, 5507.5, 5536.2, 5568.6, 5640.8, 5652.0, 5690.7, 5706.7, 5739.9, 5801.3, 5810.8, 5992.0, 6017.9, 6099.9, 6136.2, 6204.3, 6243.0, 6292.5, 6324.9, 6347.9, 6380.9, 6422.1, 6449.9, 6559.6, 6574.4, 6600.9, 6631.6, 6652.9, 6685.3, 6790.8, 6927.0, 6974.0, 7011.8, 7040.7, 7083.5, 7124.8, 7192.3, 7198.8, 7261.4, 7283.2, 7303.9, 7323.8, 7330.2, 7363.8, 7379.0, 7386.3, 7419.5, 7448.8, 7458.4, 7494.2, 7511.3, 7573.8, 7591.8, 7596.6, 7636.3, 7655.5, 7687.7, 7698.8, 7762.4, 7899.2, 7946.6, 8104.9, 8219.2, 8347.9, 8473.4, 8510.0, 8574.7, 8613.0, 8688.5, 8733.1]"
8,1,34,"[531.7, 904.9, 1210.7, 1252.5, 1312.7, 1528.8, 1587.9, 1642.7, 1772.3, 1878.3, 1925.2, 1979.8, 2012.5, 2054.3, 2088.3, 2104.3, 2114.2, 2131.9, 2196.9, 2249.8, 2333.5, 2349.5, 2491.4, 2717.6, 2766.9, 2803.9, 2818.8, 2887.7, 2972.7, 3002.2, 3031.6, 3050.2, 3061.0, 3077.7, 3090.4, 3119.8, 3146.8, 3149.2, 3178.6, 3208.0, 3224.1, 3237.4, 3266.8, 3296.2, 3298.6, 3325.6, 3355.0, 3365.5, 3368.4, 3384.4, 3413.8, 3443.2, 3472.6, 3474.8, 3546.6, 3554.3, 3559.5, 3595.8, 3604.6, 3660.2, 3708.8, 3729.5, 3756.3, 3793.0, 3813.4, 3893.2, 3952.2, 4035.5, 4082.0, 4117.5, 4140.4, 4158.0, 4169.2, 4175.4, 4181.7, 4214.1, 4280.2, 4323.2, 4334.4, 4372.0, 4387.3, 4524.9, 4677.6, 4724.4, 4738.0, 4742.8, 4833.9, 4836.5, 4860.6, 4903.0, 4967.5, 5000.0, 5034.0, 5034.9, 5102.0, 5115.9, 5142.2, 5199.7, 5222.6, 5246.3, 5254.1, 5266.5, 5293.6, 5307.6, 5388.5, 5392.5, 5418.8, 5440.5, 5451.5, 5461.2, 5474.9, 5489.0, 5499.3, 5551.2, 5551.6, 5590.0, 5629.1, 5634.4, 5656.1, 5696.8, 5719.3, 5744.3, 5797.3, 5844.0, 5881.8, 5959.2, 5999.5, 6074.7, 6081.7, 6099.7, 6161.0, 6201.8, 6267.8, 6325.4, 6355.0, 6368.1, 6389.4, 6429.2, 6472.8, 6486.9, 6495.6, 6518.3, 6541.0, 6542.3, 6553.2, 6563.7, 6581.8, 6586.4, 6609.1, 6620.5, 6631.2, 6631.8, 6654.5, 6674.1, 6677.2, 6686.5, 6699.9, 6711.1, 6718.6, 6722.6, 6727.9, 6744.0, 6745.3, 6768.0, 6778.4, 6790.7, 6813.4, 6814.7, 6825.4, 6836.1, 6856.7, 6858.8, 6881.5, 6891.8, 6904.2, 6926.9, 6949.6, 6951.9, 6972.3, 7043.5, 7067.8, 7113.7, 7148.7, 7332.7, 7406.7, 7430.3, 7455.1, 7477.3, 7497.8, 7504.1, 7521.8, 7527.0, 7545.3, 7567.2, 7627.0, 7648.2, 7772.4, 7814.4, 7862.9, 7956.7, 7987.0, 8029.8, 8274.6, 8313.3, 8430.4, 8510.7]"
9,1,10,"[12.8, 104.2, 265.0, 582.3, 921.8, 982.4, 1003.7, 1037.6, 1232.3, 1251.9, 1272.4, 1275.3, 1343.9, 1449.2, 1464.2, 1471.5, 1598.2, 1655.4, 1682.4, 1744.3, 1787.9, 1821.4, 1830.0, 1875.6, 1931.2, 1944.5, 2018.7, 2022.3, 2058.1, 2063.0, 2117.0, 2245.3, 2266.4, 2275.3, 2318.6, 2335.5, 2414.3, 2533.8, 2535.3, 2541.1, 2585.0, 2619.6, 2620.5, 2663.4, 2702.5, 2767.4, 2820.2, 2833.4, 2862.2, 2894.2, 2945.7, 2966.5, 3014.2, 3084.9, 3119.1, 3166.1, 3184.9, 3206.0, 3240.3, 3258.8, 3284.9, 3318.4, 3334.3, 3384.9, 3390.7, 3444.6, 3484.9, 3498.3, 3584.9, 3604.9, 3669.4, 3822.4, 3835.1, 3842.6, 3952.0, 3964.2, 3995.3, 4047.3, 4079.9, 4120.1, 4140.5, 4188.7, 4195.9, 4209.9, 4234.9, 4259.4, 4305.7, 4330.4, 4388.1, 4396.6, 4514.2, 4575.0, 4667.8, 4698.8, 4735.4, 4758.7, 4870.5, 4985.7, 5019.8, 5042.7, 5087.9, 5148.7, 5246.6, 5328.4, 5420.6, 5435.1, 5501.2, 5537.7, 5639.1, 5648.5, 5661.6, 5674.1, 5750.6, 5772.3, 5811.5, 5844.9, 5889.1, 5903.8, 5990.2, 6027.0, 6056.4, 6116.4, 6147.0, 6215.3, 6278.7, 6311.6, 6356.8, 6440.3, 6483.6, 6546.6, 6584.8, 6596.4, 6640.3, 6663.5, 6680.1, 6695.8, 6726.7, 6751.3, 6777.2, 6806.8, 6810.4, 6833.0, 6860.5, 6862.3, 6906.5, 6917.8, 6928.5, 6963.2, 6973.3, 7028.8, 7030.4, 7075.7, 7076.5, 7084.3, 7158.9, 7228.6, 7233.1, 7416.2, 7454.3, 7523.4, 7563.0, 7573.9, 7613.8, 7643.5, 7677.7, 7726.0, 7779.0, 7823.9, 7843.3, 7849.5, 7887.8, 7966.8, 8018.1, 8227.4, 8293.1, 8372.0, 8388.8, 8459.6, 8486.1, 8618.2]"
