,trial,f1,spikes
0,1,34,"[0.8, 5.2, 8.5, 16.9, 31.2, 37.7, 46.6, 51.7, 56.1, 60.7, 67.2, 74.9, 83.0, 105.7, 110.8, 113.5, 115.9, 115.9, 121.3, 133.6, 139.7, 157.5, 167.8, 181.1, 186.3, 191.7, 194.4, 199.4, 204.4, 209.5, 212.6, 217.1, 219.5, 220.8, 223.7, 225.7, 229.2, 232.0, 235.0, 235.5, 238.6, 244.9, 248.4, 252.1, 258.2, 261.2, 266.2, 274.2, 278.7, 282.3, 283.5, 286.7, 289.9, 294.0, 295.4, 297.2, 300.2, 303.2, 303.4, 306.8, 310.7, 311.4, 320.3, 333.3, 340.9, 348.5, 349.0, 358.6, 374.7, 384.6, 393.2, 396.7, 398.5, 402.3, 405.2, 407.2, 413.2, 419.7, 426.4, 435.9, 438.7, 444.4, 446.7, 461.8, 468.9, 478.2, 483.5, 487.6, 493.5, 497.2, 500.3, 506.8, 514.1, 526.4, 559.9, 577.0, 609.0, 630.1, 630.8, 651.8, 677.4, 694.8, 697.4, 707.7, 726.2, 739.1, 750.0, 753.2, 760.7, 773.6, 777.6, 798.7, 805.2, 806.7, 808.0, 809.5, 810.8, 815.2, 818.4, 821.5, 824.5, 827.3, 828.3, 831.7, 844.9, 863.3, 878.9, 883.8, 895.8, 917.4, 925.1, 936.3, 937.1, 966.5, 967.0, 1015.3, 1030.3, 1049.5, 1074.1, 1361.4, 1363.2, 1368.0, 1371.7, 1372.8, 1374.4, 1376.0, 1378.1, 1379.7, 1383.1, 1384.6, 1386.6, 1389.2, 1391.5, 1393.2, 1396.2, 1399.7, 1474.4, 1479.3, 1595.2, 1630.5, 1935.8, 1940.5, 1943.7, 1945.4, 1946.8, 1948.3, 1952.2, 1953.5, 1955.6, 1959.0, 1961.3, 1982.4, 2041.2, 2082.7, 2174.9, 2261.9, 2407.4, 2418.9, 2489.1, 2533.1, 2663.5, 2674.9, 2709.4, 2913.9, 2926.6, 2936.7, 2957.6, 3001.3, 3015.2, 3044.6, 3074.0, 3103.4, 3132.8, 3140.1, 3162.2, 3180.4, 3191.6, 3212.5, 3221.0, 3250.4, 3252.1, 3279.8, 3307.7, 3309.2, 3338.6, 3362.1, 3368.0, 3397.4, 3408.5, 3412.5, 3426.8, 3456.2, 3464.8, 3485.6, 3505.8, 3515.0, 3544.6, 3585.7, 3634.8, 3657.4, 3747.6, 3751.1, 3772.3, 3783.6, 3786.8, 3787.9, 3881.2, 3915.9, 3923.8, 3975.2, 4009.4, 4017.7, 4158.3, 4207.2, 4240.9, 4265.2, 4478.4, 4624.7, 4643.2, 4724.8, 4834.2, 4854.0, 5007.0, 5262.8, 5268.2, 5336.8, 5376.2, 5452.0, 5535.5, 5635.8, 5646.4, 5689.1, 5817.2, 5839.1, 5877.3, 5937.9, 5955.6, 5966.2, 5975.4, 6100.5, 6161.0, 6205.9, 6213.9, 6246.7, 6340.5, 6354.1, 6488.9, 6515.1, 6537.8, 6560.5, 6583.2, 6593.2, 6605.9, 6628.6, 6628.9, 6651.3, 6674.0, 6686.9, 6696.7, 6719.4, 6742.1, 6764.8, 6787.5, 6810.2, 6832.9, 6855.6, 6878.3, 6901.0, 6903.9, 6922.2, 6923.7, 6933.4, 6946.4, 6950.9, 6969.1, 6979.9, 6991.8, 7008.4, 7014.5, 7030.8, 7159.3, 7238.2, 7314.6, 7328.3, 7347.1, 7382.8, 7498.9, 7559.7, 7571.6, 7705.1, 7726.0, 7917.1, 7959.4, 7978.8, 8003.1, 8025.3, 8042.2, 8192.1, 8275.9, 8299.5, 8325.8, 8370.2, 8469.1, 8508.4, 8611.4, 8650.1]"
1,1,30,"[82.2, 236.7, 296.6, 355.3, 497.0, 505.7, 637.2, 675.4, 705.7, 743.0, 820.2, 837.4, 984.6, 1043.0, 1060.1, 1275.4, 1352.3, 1364.1, 1378.7, 1796.4, 2205.4, 2294.1, 2410.6, 2456.3, 2486.2, 2844.8, 2977.8, 3011.1, 3044.4, 3077.7, 3084.9, 3111.0, 3144.3, 3177.6, 3210.9, 3244.2, 3277.5, 3282.7, 3298.9, 3310.8, 3344.1, 3351.6, 3377.4, 3410.7, 3444.0, 3457.0, 3477.3, 3491.7, 3510.9, 3543.6, 3569.6, 3583.9, 3596.1, 3618.0, 3628.6, 3643.6, 3656.9, 3685.5, 3702.4, 3730.1, 3803.6, 3855.8, 3950.3, 4040.9, 4095.1, 4198.5, 4301.9, 4388.1, 4401.7, 4613.4, 4616.6, 4683.5, 4739.9, 4783.2, 4874.2, 4893.5, 5031.4, 5160.3, 5166.1, 5308.6, 5372.4, 5449.3, 5482.4, 5568.9, 5705.4, 5838.4, 5846.1, 5862.1, 5922.7, 5958.0, 6024.6, 6107.8, 6236.6, 6406.9, 6447.3, 6466.2, 6469.5, 6477.9, 6504.2, 6520.8, 6530.5, 6532.8, 6556.8, 6583.1, 6583.7, 6609.4, 6631.1, 6635.7, 6654.1, 6662.0, 6688.3, 6714.6, 6740.9, 6767.2, 6781.6, 6793.5, 6815.1, 6819.8, 6840.6, 6846.1, 6872.4, 6881.4, 6898.7, 6902.5, 6925.0, 6925.5, 6951.3, 6977.6, 6998.2, 7007.9, 7026.2, 7035.3, 7067.5, 7144.7, 7150.9, 7245.0, 7283.1, 7393.3, 7597.6, 7600.5, 7620.7, 7680.6, 7695.0, 7698.2, 7719.4, 7957.8, 7970.5, 8064.5, 8106.6, 8123.3, 8135.6, 8179.4, 8232.8, 8265.8, 8300.3, 8304.5, 8307.8, 8308.4, 8312.3, 8315.8, 8317.4, 8319.4, 8322.8, 8325.9, 8329.5, 8332.1, 8391.0, 8400.8, 8411.8, 8435.8]"
2,1,30,"[56.2, 129.4, 168.6, 179.4, 210.4, 322.6, 358.2, 373.8, 406.4, 507.1, 512.5, 516.2, 517.5, 538.4, 564.2, 574.1, 581.9, 603.2, 692.1, 1006.0, 1045.3, 1048.5, 1128.0, 1130.4, 1241.2, 1242.9, 1381.8, 1447.6, 1459.0, 1513.0, 1690.5, 1697.0, 1700.1, 1704.0, 1705.4, 1707.0, 1778.8, 1813.0, 1848.3, 1878.0, 1921.5, 1944.6, 2021.6, 2123.5, 2152.1, 2468.5, 2580.9, 2651.8, 2663.2, 2747.9, 2848.5, 2868.4, 2899.2, 2955.6, 2996.5, 3002.2, 3148.8, 3169.9, 3192.6, 3194.0, 3236.1, 3243.4, 3255.9, 3264.0, 3305.3, 3400.3, 3413.2, 3433.6, 3434.5, 3459.5, 3466.9, 3480.8, 3500.2, 3533.5, 3566.8, 3594.4, 3600.1, 3631.4, 3633.4, 3662.2, 3666.7, 3679.5, 3690.1, 3700.0, 3730.7, 3733.3, 3738.6, 3766.6, 3775.6, 3799.9, 3807.7, 3828.4, 3833.2, 3861.6, 3866.5, 3874.3, 3899.8, 3917.6, 3922.4, 3939.5, 4038.2, 4071.8, 4088.1, 4131.7, 4147.7, 4152.7, 4155.6, 4169.6, 4176.2, 4215.4, 4281.5, 4305.6, 4315.2, 4349.6, 4376.1, 4411.7, 4427.8, 4440.8, 4443.5, 4449.2, 4476.8, 4528.5, 4590.2, 4595.0, 4610.1, 4693.3, 4735.9, 4858.3, 4870.8, 4896.9, 4899.2, 4934.6, 5098.8, 5238.1, 5298.2, 5316.8, 5321.8, 5396.2, 5650.5, 5694.9, 5718.7, 6039.7, 6070.3, 6158.7, 6320.9, 6339.3, 6517.6, 6842.1, 6900.4, 6945.8, 6991.3, 7036.7, 7082.1, 7113.3, 7127.5, 7157.3, 7172.1, 7172.9, 7216.7, 7218.3, 7263.4, 7263.7, 7274.6, 7309.1, 7334.2, 7353.5, 7354.5, 7356.8, 7359.2, 7399.9, 7423.0, 7438.2, 7441.1, 7452.2, 7467.9, 7478.2, 7487.0, 7495.6, 7503.5, 7511.6, 7513.4, 7523.8, 7533.1, 7537.6, 7543.4, 7554.5, 7564.3, 7573.8, 7583.2, 7593.7, 7604.6, 7613.4, 7623.5, 7631.9, 7640.5, 7642.9, 7653.9, 7657.4, 7665.3, 7676.0, 7686.3, 7687.3, 7699.1, 7710.6, 7722.2, 7732.3, 7736.9, 7744.6, 7756.3, 7763.8, 7766.5, 7778.5, 7785.8, 7789.7, 7800.8, 7804.0, 7811.9, 7813.2, 7829.1, 7832.9, 7842.6, 7855.7, 7868.0, 7886.3, 7900.3, 7914.6, 7929.9, 7942.7, 7991.7, 8062.6, 8065.9, 8100.1, 8129.3, 8138.1, 8145.1, 8151.2, 8161.5, 8174.7, 8204.3, 8205.2, 8211.9, 8226.5, 8301.3, 8338.0, 8415.8, 8419.1, 8440.0, 8554.0, 8565.7, 8606.0, 8628.0, 8671.6, 8681.1, 8698.1, 8720.8, 8749.7, 8777.4, 8782.5, 8799.5, 8810.2, 8820.9, 8825.7, 8836.2, 8894.3, 8966.8, 9008.4, 9028.4, 9054.0, 9145.4, 9193.3, 9296.8, 9366.2, 9374.4, 9466.9, 9516.1, 9542.9, 9554.1, 9657.0]"
3,1,22,"[88.5, 94.3, 95.7, 177.7, 197.3, 294.5, 295.3, 329.5, 350.2, 360.0, 577.8, 596.6, 618.4, 672.5, 683.0, 696.4, 712.9, 756.8, 813.1, 817.0, 817.7, 820.7, 824.6, 827.4, 831.2, 835.0, 837.9, 838.3, 841.1, 934.8, 977.0, 978.7, 987.6, 1115.1, 1164.8, 1204.0, 1243.3, 1291.1, 1398.7, 1559.8, 1709.7, 1846.5, 2105.5, 2180.0, 2195.0, 2200.9, 2315.2, 2359.7, 2371.1, 2392.3, 2428.8, 2448.4, 2486.2, 2496.0, 2498.0, 2500.5, 2504.3, 2507.7, 2580.5, 2638.2, 2739.1, 2790.3, 2910.1, 3002.0, 3025.8, 3045.7, 3063.3, 3085.3, 3090.0, 3093.3, 3101.1, 3105.0, 3108.3, 3108.5, 3111.5, 3121.6, 3138.9, 3229.2, 3309.1, 3321.4, 3418.0, 3418.9, 3432.7, 3435.1, 3451.2, 3462.1, 3476.4, 3497.8, 3506.8, 3512.0, 3524.7, 3544.9, 3569.9, 3631.3, 3670.0, 3676.8, 3722.2, 3767.6, 3813.0, 3858.4, 3899.6, 3903.8, 3913.4, 3947.1, 3949.3, 3951.7, 3958.4, 3988.6, 3994.7, 4004.1, 4040.1, 4051.9, 4063.3, 4085.4, 4097.1, 4099.1, 4130.8, 4152.8, 4160.7, 4181.8, 4218.3, 4229.3, 4251.4, 4262.1, 4294.5, 4325.7, 4334.2, 4361.3, 4380.2, 4381.1, 4439.1, 4467.7, 4546.7, 4581.5, 4664.6, 4697.6, 4772.8, 4846.8, 4887.3, 4898.7, 4923.8, 4955.8, 5053.4, 5095.8, 5100.4, 5112.8, 5168.2, 5251.6, 5295.3, 5350.6, 5532.5, 5583.6, 5666.5, 5732.5, 5744.0, 5757.0, 5963.7, 6012.9, 6039.9, 6121.0, 6168.5, 6178.4, 6217.4, 6329.8, 6356.8, 6357.5, 6419.0, 6567.7, 6711.7, 6714.2, 6718.2, 6731.6, 6755.0, 6863.4, 6886.3, 6973.9, 6992.7, 7031.9, 7062.5, 7105.9, 7131.2, 7164.6, 7184.5, 7197.9, 7208.0, 7217.7, 7231.2, 7253.4, 7263.2, 7263.7, 7264.5, 7297.8, 7309.9, 7331.1, 7359.5, 7364.4, 7374.0, 7380.2, 7397.7, 7431.0, 7464.3, 7483.7, 7497.6, 7521.5, 7530.9, 7546.7, 7564.2, 7582.5, 7595.2, 7597.5, 7613.9, 7630.7, 7657.9, 7663.8, 7668.7, 7679.3, 7705.0, 7729.0, 7748.9, 7764.6, 7864.4, 7955.2, 7974.7, 7985.9, 8006.9, 8077.9, 8101.3, 8230.7, 8240.7, 8274.7, 8300.1, 8346.4, 8393.6, 8443.7, 8480.7, 8503.7, 8514.2, 8621.0, 8818.7, 8856.3, 8869.3, 8924.8, 8935.7, 8942.9, 8994.2, 9173.3, 9180.2, 9188.7]"
4,1,22,"[22.0, 82.7, 117.8, 181.0, 185.6, 220.0, 263.2, 264.5, 281.9, 322.8, 324.3, 352.8, 360.8, 369.7, 382.9, 388.0, 395.3, 402.3, 411.1, 430.2, 434.9, 463.0, 473.1, 493.8, 498.0, 527.5, 529.6, 530.6, 533.1, 540.4, 553.2, 560.9, 565.4, 574.1, 577.9, 594.6, 595.8, 612.7, 737.7, 967.8, 995.6, 1001.0, 1029.7, 1035.3, 1080.4, 1152.3, 1329.3, 1385.2, 1454.6, 1647.7, 1788.3, 1873.2, 1907.8, 1956.4, 2088.8, 2214.4, 2287.3, 2301.8, 2303.2, 2371.1, 2551.3, 2570.3, 2897.1, 2922.2, 2967.6, 3013.0, 3058.4, 3103.8, 3113.9, 3135.2, 3149.2, 3194.6, 3209.4, 3240.0, 3254.0, 3285.4, 3294.6, 3330.8, 3346.1, 3376.2, 3382.8, 3393.1, 3446.5, 3501.5, 3505.8, 3538.8, 3540.3, 3542.6, 3569.6, 3623.9, 3630.1, 3681.5, 3712.5, 3734.7, 3795.0, 3844.6, 3852.7, 3889.0, 4017.9, 4048.6, 4080.2, 4192.4, 4361.8, 4543.3, 4635.6, 4722.5, 4755.2, 4912.7, 5015.2, 5111.7, 5150.6, 5156.6, 5211.4, 5214.7, 5227.0, 5309.7, 5313.2, 5508.6, 5562.1, 5605.5, 5622.6, 5641.9, 5768.0, 6083.0, 6187.7, 6313.3, 6361.9, 6447.0, 6457.5, 6509.5, 6561.4, 6572.0, 6585.7, 6622.3, 6624.1, 6634.5, 6697.0, 6750.6, 6759.5, 6794.7, 6822.0, 6870.9, 6884.5, 6894.1, 6947.0, 6948.0, 6964.5, 6967.8, 6971.0, 6993.2, 7005.3, 7097.2, 7099.6, 7111.5, 7138.4, 7172.1, 7227.3, 7229.9, 7294.5, 7344.8, 7372.9, 7532.4, 7587.6, 7641.1, 7746.2, 7833.5, 7991.9, 8007.8, 8162.3]"
5,1,34,"[20.5, 31.2, 57.9, 67.4, 81.4, 225.5, 272.5, 397.8, 410.6, 491.1, 517.4, 533.4, 633.5, 680.0, 736.2, 758.1, 782.4, 811.7, 859.8, 895.7, 976.9, 1001.7, 1031.7, 1098.6, 1118.8, 1153.8, 1164.5, 1210.2, 1245.1, 1304.0, 1306.1, 1406.6, 1481.4, 1487.6, 1498.0, 1510.1, 2066.2, 2255.9, 2302.3, 2410.3, 2424.9, 2565.3, 2577.7, 2606.9, 2667.3, 2759.0, 2764.6, 2785.6, 2795.4, 2799.5, 2808.5, 2821.6, 2873.3, 2937.3, 2942.2, 3013.1, 3039.5, 3090.8, 3096.9, 3153.5, 3181.4, 3216.0, 3383.2, 3482.3, 3483.1, 3535.1, 3550.2, 3557.9, 3565.9, 3571.3, 3592.4, 3606.5, 3620.5, 3645.2, 3702.3, 3705.5, 3731.7, 3761.1, 3761.9, 3790.5, 3790.8, 3819.9, 3832.0, 3849.3, 3874.0, 3878.7, 3886.9, 3908.1, 3937.5, 3944.2, 3961.8, 3966.9, 3996.3, 4025.7, 4047.2, 4055.1, 4083.8, 4084.5, 4107.3, 4113.9, 4143.3, 4159.1, 4172.7, 4192.4, 4202.1, 4244.5, 4289.1, 4299.9, 4316.0, 4327.5, 4354.4, 4382.6, 4413.7, 4458.0, 4458.8, 4509.1, 4654.1, 4689.3, 4711.6, 4817.0, 4852.1, 4875.3, 4977.3, 5006.1, 5032.1, 5092.1, 5108.5, 5123.1, 5156.5, 5313.5, 5475.8, 5508.7, 5612.9, 5642.0, 5717.1, 5761.6, 5845.3, 5920.6, 5982.5, 6006.7, 6080.2, 6226.5, 6231.8, 6361.3, 6363.4, 6457.2, 6527.9, 6550.9, 6564.1, 6626.3, 6648.0, 6763.6, 6855.5, 6863.2, 6906.9, 6911.3, 7062.6, 7096.2, 7202.3, 7232.4, 7243.9, 7285.5, 7327.1, 7346.5, 7368.7, 7369.9, 7398.2, 7410.3, 7427.6, 7430.7, 7451.9, 7484.1, 7490.0, 7493.5, 7528.8, 7535.1, 7556.7, 7576.7, 7618.3, 7636.2, 7659.6, 7659.9, 7695.7, 7701.5, 7734.6, 7790.7, 7838.6, 7844.7, 7856.8, 7921.2, 7935.7, 7940.2, 7956.8, 8013.5, 8039.1, 8087.6, 8157.2, 8191.3, 8289.4, 8339.0, 8395.5, 8451.6, 8480.4, 8486.3, 8556.1, 8575.0, 8592.6, 8598.3, 8625.1, 8642.7, 8647.7, 8726.7, 8734.5, 8783.8, 8836.5, 8855.7, 8935.2, 8963.6, 9077.6, 9226.3, 9321.3]"
6,1,22,"[24.0, 33.5, 38.9, 44.8, 70.6, 76.5, 106.1, 111.4, 125.3, 131.1, 133.5, 145.7, 152.6, 169.4, 183.1, 280.5, 297.0, 324.7, 390.0, 461.2, 486.8, 553.4, 852.6, 939.6, 1014.7, 1085.7, 1127.2, 1143.0, 1144.7, 1352.6, 1771.1, 1809.2, 1869.3, 1967.0, 2093.2, 2121.6, 2172.4, 2205.4, 2337.8, 2351.2, 2411.3, 2461.7, 2478.4, 2521.7, 2623.9, 2630.2, 2651.0, 2706.9, 2709.1, 2752.4, 2797.8, 2843.2, 2850.9, 2864.6, 2888.6, 2912.0, 2934.0, 2979.4, 2993.5, 3021.9, 3024.8, 3056.0, 3064.1, 3070.2, 3077.6, 3105.8, 3115.6, 3159.0, 3161.0, 3199.8, 3205.0, 3206.4, 3256.3, 3342.6, 3372.7, 3396.9, 3420.9, 3451.0, 3471.4, 3473.7, 3529.7, 3541.5, 3579.7, 3623.8, 3669.8, 3770.6, 3795.7, 3822.1, 3939.3, 3998.8, 4033.8, 4044.7, 4145.5, 4255.6, 4268.9, 4395.3, 4422.1, 4427.9, 4433.8, 4450.5, 4454.6, 4716.0, 4743.3, 4768.5, 4813.1, 4895.4, 4950.2, 5471.5, 5537.7, 5628.1, 5717.8, 5796.8, 5849.4, 5909.3, 5972.3, 6086.1, 6126.5, 6147.4, 6231.9, 6238.3, 6303.3, 6374.7, 6446.1, 6446.3, 6461.1, 6517.5, 6588.9, 6611.8, 6660.3, 6665.5, 6675.5, 6688.5, 6713.0, 6731.7, 6762.2, 6780.9, 6844.1, 6846.4, 6861.8, 6882.4, 6918.5, 6939.9, 6979.3, 6988.2, 7014.7, 7027.9, 7092.1, 7111.7, 7120.7, 7139.8, 7253.7, 7283.5, 7328.7, 7367.7, 7443.6, 7479.6, 7506.7, 7510.8, 7723.3, 7928.6, 8025.9, 8075.6, 8081.8, 8154.0, 8164.6, 8226.0, 8238.8]"
7,1,18,"[159.0, 192.7, 231.4, 248.0, 364.2, 503.9, 527.0, 548.0, 558.2, 583.1, 641.2, 664.1, 727.7, 737, 780.6, 809.1, 841.6, 847.9, 1135.1, 1160.0, 1180.5, 1312.4, 1423.9, 1499.6, 1542.7, 1940.5, 1972.1, 2000.0, 2111.9, 2221.8, 2456.3, 2529.5, 2561.6, 2601.7, 2604.1, 2632.3, 2650.8, 2666.8, 2684.2, 2792.4, 2877.3, 2932.3, 2978.5, 3000.2, 3013.7, 3042.5, 3065.9, 3088.3, 3118.3, 3143.5, 3173.5, 3177.7, 3215.5, 3271.7, 3329.5, 3389.9, 3410.6, 3411.2, 3495.2, 3527.9, 3754.4, 3861.7, 3922.2, 3935.9, 3977.7, 3979.8, 3990.0, 4033.2, 4068.1, 4084.5, 4088.7, 4089.4, 4104.1, 4144.2, 4163.0, 4192.2, 4199.7, 4244.3, 4255.2, 4310.7, 4321.5, 4328.8, 4366.2, 4393.4, 4421.7, 4432.4, 4453.9, 4473.1, 4500.4, 4531.2, 4575.2, 4644.3, 4665.9, 4693.2, 4727.5, 4731.2, 4733.7, 4743.5, 4743.5, 4768.0, 4782.7, 4795.5, 4823.7, 4850.2, 4886.7, 4920.1, 4961.7, 4986.5, 4988.8, 5064.1, 5160.2, 5188.9, 5226.9, 5238.5, 5272.5, 5272.7, 5282.4, 5311.2, 5320.8, 5339.1, 5348.2, 5373.1, 5436.0, 5522.8, 5528.2, 5601.4, 5613.9, 5775.3, 5778.9, 5835.6, 5850.3, 5874.9, 5888.4, 5923.6, 5937.2, 5952.9, 5966.6, 5986.2, 6027.9, 6067.7, 6134.3, 6238.2, 6242.3, 6250.7, 6274.7, 6321.6, 6456.1, 6459.6, 6464.1, 6472.3, 6587.5, 6633.2, 6657.1, 6792.0, 6794.3, 6807.6, 6829.8, 6846.7, 6850.9, 6889.3, 6935.9, 7015.7, 7155.0, 7172.8, 7192.9, 7199.8, 7255.8, 7284.1, 7338.9, 7368.6, 7431.9, 7438.7, 7447.2, 7456.9, 7488.8, 7530.4, 7572.0, 7575.4, 7613.6, 7629.9, 7655.2, 7696.4, 7696.8, 7710.7, 7738.4, 7778.1, 7780.0, 7782.5, 7814.2, 7821.6, 7863.2, 7885.5, 7902.5, 7904.8, 7946.4, 7991.0, 8014.2, 8114.5, 8120.3, 8133.2, 8150.8, 8179.8, 8219.9, 8227.6, 8232.6, 8239.5, 8284.0, 8297.5, 8340.2, 8376.0, 8496.5, 8527.4, 8670.2, 8733.0, 8839.1, 8846.0, 8846.1, 8854.6, 8904.5, 8935.7, 9086.4, 9270.4, 9342.2, 9530.2]"
8,1,10,"[26.0, 29.8, 34.6, 112.7, 253.5, 423.1, 477.5, 705.3, 708.8, 737.9, 775.8, 793.4, 794.8, 797.1, 952.0, 1100.4, 1108.8, 1115.4, 1118.7, 1125.6, 1155.3, 1162.2, 1170.9, 1245.2, 1345.2, 1447.2, 1647.7, 1687.9, 1700.1, 1703.4, 1705.0, 1724.9, 1783.9, 1832.4, 1840.2, 1842.2, 1868.1, 1886.0, 2041.1, 2092.0, 2146.7, 2350.1, 2377.9, 2445.7, 2470.0, 2498.2, 2512.3, 2526.1, 2569.5, 2620.0, 2631.4, 2729.1, 2731.6, 2783.9, 2798.1, 2883.9, 2930.0, 2983.9, 3025.2, 3083.9, 3096.2, 3183.9, 3191.1, 3223.1, 3235.6, 3261.1, 3275.3, 3277.7, 3283.9, 3408.6, 3414.8, 3487.7, 3548.7, 3607.0, 3617.6, 3634.5, 3675.2, 3734.9, 3834.0, 3903.5, 3981.5, 4109.6, 4116.5, 4141.9, 4145.2, 4187.6, 4198.1, 4237.8, 4259.4, 4317.2, 4433.0, 4470.9, 4539.5, 4557.4, 4576.1, 4603.0, 4637.3, 4933.6, 4950.3, 5068.1, 5150.3, 5177.0, 5290.3, 5298.3, 5330.0, 5373.3, 5393.9, 5442.6, 5502.6, 5511.2, 5617.7, 5712.1, 5728.2, 5734.1, 6089.6, 6106.4, 6195.6, 6239.2, 6284.0, 6379.6, 6450.6, 6551.6, 6601.6, 6617.2, 6681.9, 6709.4, 6745.7, 6783.8, 6805.5, 6823.6, 6829.8, 6857.2, 6895.3, 6902.7, 6926.1, 6934.4, 6968.9, 6969.7, 6974.7, 7061.3, 7119.2, 7156.8, 7196.4, 7213.8, 7249.4, 7275.6, 7346.6, 7414.1, 7521.1, 7546.4, 7569.6, 7587.6, 7606.1, 7639.1, 7651.4, 7665.1, 7779.0, 7814.5, 7820.7, 7844.6, 7852.4, 7863.4, 7890.7, 7902.2, 7925.9, 7953.1, 7956.4, 7963.4, 8009.6, 8034.6, 8042.4, 8064.1, 8089.0, 8114.0, 8127.0, 8165.4, 8275.8]"
9,1,14,"[62.7, 65.0, 127.2, 235.5, 282.6, 395.7, 507.6, 538.7, 561.0, 578.6, 707.5, 729.3, 756.5, 884.1, 912.9, 951.9, 996.0, 1010.1, 1014.2, 1032.4, 1156.8, 1239.9, 1257.9, 1348.9, 1434.0, 1473.6, 1485.6, 1489.4, 1521.4, 1657.3, 1700.1, 1703.1, 1719.9, 1741.5, 1772.7, 1843.3, 1856.8, 1897.9, 1903.7, 1907.5, 1911.1, 1927.8, 1970.8, 2058.8, 2073.9, 2100.4, 2129.7, 2203.4, 2314.9, 2401.1, 2447.1, 2450.0, 2489.0, 2491.5, 2545.2, 2565.2, 2645.9, 2859.6, 2866.2, 2923.1, 3051.6, 3074.8, 3084.2, 3152.9, 3178.9, 3223.9, 3250.3, 3321.7, 3340.2, 3393.1, 3394.7, 3402.9, 3430.2, 3436.7, 3464.5, 3482.3, 3483.8, 3510.9, 3527.5, 3535.9, 3607.3, 3620.9, 3648.8, 3678.7, 3685.1, 3699.2, 3704.9, 3716.1, 3757.7, 3817.6, 3901.8, 3919.0, 3957.9, 3996.6, 4006.5, 4024.7, 4131.8, 4223.9, 4250.6, 4296.0, 4346.7, 4392.2, 4446.6, 4588.6, 4623.3, 4720.0, 4781.0, 4808.0, 4823.4, 4830.2, 4882.1, 4924.7, 4983.1, 4993.5, 5011.0, 5098.1, 5149.6, 5202.6, 5202.7, 5245.7, 5253.4, 5274.5, 5287.0, 5344.8, 5433.1, 5453.0, 5462.7, 5508.0, 5547.0, 5555.6, 5602.4, 5607.8, 5614.3, 5649.2, 5710.5, 5725.2, 5737.0, 5827.2, 5875.2, 5876.0, 5883.1, 5942.5, 5984.2, 6005.4, 6012.9, 6013.2, 6018.1, 6062.2, 6076.3, 6108.5, 6116.4, 6142.2, 6176.1, 6283.5, 6396.1, 6449.7, 6472.4, 6498.4, 6554.0, 6566.8, 6577.3, 6651.1, 6678.8, 6699.9, 6706.8, 6708.5, 6724.2, 6769.6, 6815.0, 6860.4, 6905.4, 6905.8, 6914.6, 6940.2, 6951.2, 6996.6, 7037.1, 7042.0, 7042.0, 7044.4, 7064.5, 7079.2, 7087.4, 7088.6, 7117.2, 7127.3, 7132.8, 7149.2, 7172.2, 7178.2, 7181.5, 7191.2, 7216.2, 7234.9, 7278.2, 7299.2, 7331.6, 7347.1, 7379.9, 7398.5, 7405.0, 7419.0, 7484.3, 7494.9, 7536.9, 7539.4, 7577.0, 7637.5, 7650.9, 7682.6, 7696.1, 7737.3, 7784.1, 7822.5, 7832.7, 7839.3, 7873.2, 7900.7, 7902.9, 7927.7, 7953.2, 8024.7, 8189.6, 8323.2, 8391.9, 8409.5, 8410.4, 8422.0, 8431.3, 8492.1]"
